Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
Java(TM) Platform SE binary		Public	Yes	Block	No	C:\program files\java\jdk-21\bin\javaw.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Ld9BoxNat		All	Yes	Allow	No	C:\Program Files\ldplayer9box\VBoxNetNAT.exe	Any	Local subnet	Any	Any	Any	Any	Any	Any	Any	None	Any	
Ld9BoxNat		All	Yes	Allow	No	C:\Program Files\ldplayer9box\VBoxNetNAT.exe	Any	Local subnet	Any	Any	Any	Any	Any	Any	Any	None	Any	
Ld9BoxSup		All	Yes	Allow	No	C:\Program Files\ldplayer9box\Ld9BoxHeadless.exe	Any	Local subnet	Any	Any	Any	Any	Any	Any	Any	None	Any	
Ld9BoxSup		All	Yes	Allow	No	C:\Program Files\ldplayer9box\Ld9BoxHeadless.exe	Any	Local subnet	Any	Any	Any	Any	Any	Any	Any	None	Any	
Microsoft Lync		Public	Yes	Allow	No	C:\Program Files\Microsoft Office\root\Office16\Lync.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Microsoft Lync UcMapi		Public	Yes	Allow	No	C:\Program Files\Microsoft Office\root\Office16\UcMapi.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Microsoft Office Outlook		Public	Yes	Allow	No	C:\Program Files\Microsoft Office\root\Office16\outlook.exe	Any	Any	UDP	6004	Any	Any	Any	Any	Any	None	Any	
NVIDIA SHIELD Streaming NSS TCP Exception		All	Yes	Allow	No	C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe	Any	Any	TCP	47984, 47989, 48010	Any	Any	Any	Any	Any	None	Any	
NVIDIA SHIELD Streaming NSS UDP Exception		All	Yes	Allow	No	C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe	Any	Any	UDP	48010	Any	Any	Any	Any	Any	None	Any	
NVIDIA SHIELD Streaming NvStreamer TCP Exception		All	Yes	Allow	No	C:\Program Files\NVIDIA Corporation\NvStreamSrv\nvstreamer.exe	Any	Any	TCP	47995	Any	Any	Any	Any	Any	None	Any	
NVIDIA SHIELD Streaming NvStreamer UDP Exception		All	Yes	Allow	No	C:\Program Files\NVIDIA Corporation\NvStreamSrv\nvstreamer.exe	Any	Any	UDP	47995, 47998, 47999, 48000, 48002	Any	Any	Any	Any	Any	None	Any	
NVIDIA SHIELD Streaming SSAS UDP Exception		All	Yes	Allow	No	C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe	Any	Any	UDP	5353	Any	Any	Any	Any	Any	None	Any	
NVIDIA SHIELD Streaming SSAU UDP Exception		All	Yes	Allow	No	C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe	Any	Any	UDP	47998	Any	Any	Any	Any	Any	None	Any	
PaladinVPN		All	Yes	Allow	No	C:\Program Files (x86)\PaladinVPN\upgrade.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
PaladinVPN		All	Yes	Allow	No	C:\Program Files (x86)\PaladinVPN\feedback.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
PaladinVPN		All	Yes	Allow	No	C:\Program Files (x86)\PaladinVPN\tun.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
PaladinVPN		All	Yes	Allow	No	C:\Program Files (x86)\PaladinVPN\pldsvc.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
PaladinVPN		All	Yes	Allow	No	C:\Program Files (x86)\PaladinVPN\line.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
PaladinVPN		All	Yes	Allow	No	C:\Program Files (x86)\PaladinVPN\Paladinsvc.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
PaladinVPN		All	Yes	Allow	No	C:\Program Files (x86)\PaladinVPN\tunnle\tunnle.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
PaladinVPN		All	Yes	Allow	No	C:\Program Files (x86)\PaladinVPN\PaladinVPN.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
ROGLiveService		All	Yes	Allow	No	C:\Program Files\ASUS\ROG Live Service\ROGLiveService.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
SHAREit		All	Yes	Allow	No	C:\Program Files (x86)\SHAREit Technologies\SHAREit\SHAREit.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Teamviewer Remote Control Application		Public	Yes	Allow	No	C:\Program Files\TeamViewer\TeamViewer.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Teamviewer Remote Control Application		Public	Yes	Allow	No	C:\Program Files\TeamViewer\TeamViewer.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Teamviewer Remote Control Service		Public	Yes	Allow	No	C:\Program Files\TeamViewer\TeamViewer_Service.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Teamviewer Remote Control Service		Public	Yes	Allow	No	C:\Program Files\TeamViewer\TeamViewer_Service.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
torrent		Public	Yes	Allow	No	C:\program files\windowsapps\53058betterapp.torrentdownloader-_1.1.1.0_x64__90ct3cgs7yy6a\torrentdw\apps\torrent\torrent.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
torrent		Public	Yes	Allow	No	C:\program files\windowsapps\53058betterapp.torrentdownloader-_1.1.1.0_x64__90ct3cgs7yy6a\torrentdw\apps\torrent\torrent.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
uSHAREitApp		All	Yes	Allow	No	C:\Program Files (x86)\SHAREit Technologies\SHAREit\SHAREit.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
uSHAREitApp		All	Yes	Allow	No	C:\Program Files (x86)\SHAREit Technologies\SHAREit\SHAREit.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Visual Studio Code		Public	Yes	Block	No	C:\users\asus\appdata\local\programs\microsoft vs code\code.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Visual Studio Code		Public	Yes	Block	No	C:\users\asus\appdata\local\programs\microsoft vs code\code.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
VMware Authd Service		Domain	Yes	Allow	No	C:\Program Files (x86)\VMware\VMware Workstation\vmware-authd.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
VMware Authd Service (private)		Private	Yes	Allow	No	C:\Program Files (x86)\VMware\VMware Workstation\vmware-authd.exe	Any	Local subnet	Any	Any	Any	Any	Any	Any	Any	None	Any	
@{30608Paradox.SHAREit81_1.7.18.0_x64__ghshvk1r7eapp?ms-resource://30608Paradox.SHAREit81/Resources/AppNameText}	@{30608Paradox.SHAREit81_1.7.18.0_x64__ghshvk1r7eapp?ms-resource://30608Paradox.SHAREit81/Resources/AppNameText}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	MSPLAP\ASUS	None	S-1-15-2-1720506760-2676479702-3346701198-2677889667-1060394969-2517795965-2210881202	
@{EBAC32FB.ZAPYA_1.2.6.0_x86__7pjp2xjm0bc9w?ms-resource://EBAC32FB.ZAPYA/Resources/AppName}	@{EBAC32FB.ZAPYA_1.2.6.0_x86__7pjp2xjm0bc9w?ms-resource://EBAC32FB.ZAPYA/Resources/AppName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	MSPLAP\ASUS	None	S-1-15-2-704572823-4055684725-2624808965-2817774932-3993641262-549379072-2696200756	
@{GAMELOFTSA.Asphalt8Airborne_8.3.8.0_x64__0pp20fcewvvtj?ms-resource://GAMELOFTSA.Asphalt8Airborne/Resources/AppName}	@{GAMELOFTSA.Asphalt8Airborne_8.3.8.0_x64__0pp20fcewvvtj?ms-resource://GAMELOFTSA.Asphalt8Airborne/Resources/AppName}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	MSPLAP\ASUS	None	GAMELOFTSA.Asphalt8Airborne_0pp20fcewvvtj	
@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	MSPLAP\ASUS	None	Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy	
@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	@{Microsoft.AAD.BrokerPlugin_1000.19580.1000.0_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.AAD.BrokerPlugin/resources/PackageDisplayName}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	MSPLAP\ASUS	None	Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy	
@{Microsoft.Win32WebViewHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.Win32WebViewHost/resources/DisplayName}	@{Microsoft.Win32WebViewHost_10.0.22621.1_neutral_neutral_cw5n1h2txyewy?ms-resource://Windows.Win32WebViewHost/resources/DisplayName}	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	MSPLAP\ASUS	None	Microsoft.Win32WebViewHost_cw5n1h2txyewy	
@{Microsoft.Windows.CloudExperienceHost_10.0.22621.2506_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.CloudExperienceHost/resources/appDescription}	@{Microsoft.Windows.CloudExperienceHost_10.0.22621.2506_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.CloudExperienceHost/resources/appDescription}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	MSPLAP\ASUS	None	Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy	
@{Microsoft.Windows.Search_1.16.0.22000_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.Search/resources/PackageDisplayName}	@{Microsoft.Windows.Search_1.16.0.22000_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.Search/resources/PackageDisplayName}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	MSPLAP\ASUS	None	S-1-15-2-536077884-713174666-1066051701-3219990555-339840825-1966734348-1611281757	
@{Microsoft.Windows.StartMenuExperienceHost_10.0.22621.4249_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.StartMenuExperienceHost/StartMenuExperienceHost/PkgDisplayName}	@{Microsoft.Windows.StartMenuExperienceHost_10.0.22621.4249_neutral_neutral_cw5n1h2txyewy?ms-resource://Microsoft.Windows.StartMenuExperienceHost/StartMenuExperienceHost/PkgDisplayName}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	MSPLAP\ASUS	None	Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy	
@{MicrosoftWindows.Client.CBS_1000.22700.1074.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.CBS/resources/ProductPkgDisplayName}	@{MicrosoftWindows.Client.CBS_1000.22700.1074.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.CBS/resources/ProductPkgDisplayName}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	MSPLAP\ASUS	None	MicrosoftWindows.Client.CBS_cw5n1h2txyewy	
@{MicrosoftWindows.Client.Core_1000.22700.1019.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.Core/resources/ProductPkgDisplayName}	@{MicrosoftWindows.Client.Core_1000.22700.1019.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.Core/resources/ProductPkgDisplayName}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	MSPLAP\ASUS	None	MicrosoftWindows.Client.Core_cw5n1h2txyewy	
@{MicrosoftWindows.Client.LKG_1000.22621.3880.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.LKG/resources/ProductPkgDisplayName}	@{MicrosoftWindows.Client.LKG_1000.22621.3880.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.Client.LKG/resources/ProductPkgDisplayName}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	NT AUTHORITY\SYSTEM	None	MicrosoftWindows.Client.LKG_cw5n1h2txyewy	
@{MicrosoftWindows.LKG.DesktopSpotlight_1000.26100.3775.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.DesktopSpotlight/Resources/ProductPkgDisplayName}	@{MicrosoftWindows.LKG.DesktopSpotlight_1000.26100.3775.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.DesktopSpotlight/Resources/ProductPkgDisplayName}	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	NT AUTHORITY\SYSTEM	None	MicrosoftWindows.LKG.DesktopSpotlight_cw5n1h2txyewy	
Microsoft Teams	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\MSTeams_25185.410.3812.8024_x64__8wekyb3d8bbwe\ms-teams.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Microsoft Teams	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\MSTeams_25185.410.3812.8024_x64__8wekyb3d8bbwe\ms-teams.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Microsoft Teams (personal)	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\MicrosoftTeams_24165.1306.2986.9504_x64__8wekyb3d8bbwe\msteams.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Microsoft Teams (personal)	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\MicrosoftTeams_24165.1306.2986.9504_x64__8wekyb3d8bbwe\msteams.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
ms-resource:AppDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\B9ECED6F.ASUSPCAssistant_4.0.42.0_x64__qmba6cd70vzyy\MyASUS\AsusMyASUS.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
ms-resource:AppDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	All	Yes	Allow	No	C:\Program Files\WindowsApps\B9ECED6F.ASUSPCAssistant_4.0.42.0_x64__qmba6cd70vzyy\MyASUS\AsusMyASUS.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	UDP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	TCP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	UDP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	UDP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	UDP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Private	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	TCP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.OOBE_cw5n1h2txyewy\OobeHostApp.exe	Any	Any	TCP	7000	Any	Any	Any	Any	Any	None	Any	
ms-resource:ProductPkgDisplayName	{78E1CD88-49E3-476E-B926-580E596AD309}	Public	Yes	Allow	No	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\WindowsBackupClient.exe	Any	Any	TCP	7000	Any	Any	Any	Any	Any	None	Any	
AllJoyn Router (TCP-In)	AllJoyn Router	Domain, Private	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	TCP	9955	Any	Any	Any	Any	Any	None	Any	
AllJoyn Router (UDP-In)	AllJoyn Router	Domain, Private	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
App Installer	App Installer	Domain, Private	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	MSPLAP\ASUS	None	Microsoft.DesktopAppInstaller_8wekyb3d8bbwe	
ARMOURY CRATE	ARMOURY CRATE	All	Yes	Allow	No	Any	Any	Any	Any	Any	Any	Any	Any	Any	MSPLAP\ASUS	None	B9ECED6F.ArmouryCrate_qmba6cd70vzyy	
Cast to Device functionality (qWave-TCP-In)	Cast to Device functionality	Private, Public	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	PlayTo Renderers	TCP	2177	Any	Any	Any	Any	Any	None	Any	
Cast to Device functionality (qWave-UDP-In)	Cast to Device functionality	Private, Public	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	PlayTo Renderers	UDP	2177	Any	Any	Any	Any	Any	None	Any	
Cast to Device SSDP Discovery (UDP-In)	Cast to Device functionality	Public	Yes	Allow	No	%SystemRoot%\system32\svchost.exe	Any	Any	UDP	PlayTo Discovery	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (HTTP-Streaming-In)	Cast to Device functionality	Domain	Yes	Allow	No	System	Any	Any	TCP	10246	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (HTTP-Streaming-In)	Cast to Device functionality	Private	Yes	Allow	No	System	Any	Local subnet	TCP	10246	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (HTTP-Streaming-In)	Cast to Device functionality	Public	Yes	Allow	No	System	Any	PlayTo Renderers	TCP	10246	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTCP-Streaming-In)	Cast to Device functionality	Private	Yes	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	Local subnet	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTCP-Streaming-In)	Cast to Device functionality	Domain	Yes	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTCP-Streaming-In)	Cast to Device functionality	Public	Yes	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	PlayTo Renderers	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTSP-Streaming-In)	Cast to Device functionality	Private	Yes	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	Local subnet	TCP	23554, 23555, 23556	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTSP-Streaming-In)	Cast to Device functionality	Domain	Yes	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	Any	TCP	23554, 23555, 23556	Any	Any	Any	Any	Any	None	Any	
Cast to Device streaming server (RTSP-Streaming-In)	Cast to Device functionality	Public	Yes	Allow	No	%SystemRoot%\system32\mdeserver.exe	Any	PlayTo Renderers	TCP	23554, 23555, 23556	Any	Any	Any	Any	Any	None	Any	
Cast to Device UPnP Events (TCP-In)	Cast to Device functionality	Public	Yes	Allow	No	System	Any	PlayTo Renderers	TCP	2869	Any	Any	Any	Any	Any	None	Any	
